alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",34.39376718606783,5455,678,2664,2791,1056,661,308,21,3,7,624,0,117,1,1,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",33.42479508196721,9760,1154,4697,5063,1792,1155,491,49,14,24,938,8,573,2,2,-5.2928247,119.4374637
"Biringbulu, Kabupaten Gowa",39.5,32,12,14,18,7,12,0,0,0,0,2,0,9,0,1,-5.482484,119.7364196
"Biringkanaya, Kota Makassar",31.61498289213038,5553,139,2747,2806,1388,152,27,4,25,6,362,7,336,1,6,-5.1134517,119.5137952
"Bontoala, Kota Makassar",34.5742766407904,5668,44,2772,2896,1187,47,9,7,14,6,520,1,621,2,2,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",32.72982708933718,1388,204,658,730,296,205,12,4,3,0,117,0,26,0,1,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",33.25265776973536,4421,350,2112,2309,741,347,61,29,22,27,486,19,526,6,1,-5.3983947,119.3890994
"Bontonompo, Kabupaten Gowa",36.250558347292014,7164,1179,3335,3829,1484,1177,808,80,65,38,962,5,354,6,1,-5.3455219,119.4454793
"Makassar, Kota Makassar",32.86341175206789,18618,689,9257,9361,3570,739,89,275,445,22,1298,2,1002,7,4,-5.1615828,119.4359281
"Mamajang, Kota Makassar",36.74144538735286,7306,495,3441,3865,818,504,107,88,99,8,879,1,995,1,6,-5.1643461,119.4193834
"Manggala, Kota Makassar",33.05888776881721,11904,552,5679,6225,2981,603,79,108,118,23,905,15,371,4,6,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",34.10610328638498,1065,14,479,586,100,23,17,1,9,5,105,0,280,0,1,-5.2858206,119.6126125
"Mariso, Kota Makassar",28,687,47,337,350,268,25,8,4,4,2,23,0,62,1,3,-5.1590928,119.4092257
"Pallangga, Kabupaten Gowa",32.90324121052946,16753,1548,8189,8564,3476,1539,586,245,390,439,1536,50,2090,9,2,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",32.86540232001473,5431,204,2578,2853,1172,251,133,66,72,25,419,9,730,4,10,-5.1608223,119.449434
"Parangloe, Kabupaten Gowa",31.811965811965813,117,11,58,59,41,11,0,0,0,0,8,0,12,0,1,-5.2441692,119.6509478
"Parigi, Kabupaten Gowa",39.40677966101695,767,55,362,405,145,54,7,0,0,1,134,2,15,0,1,-5.3059908,119.8064051
"Rappocini, Kota Makassar",33.79308063143964,10579,183,5018,5561,1290,244,53,15,17,24,934,0,1223,5,6,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",31.771836244832645,7499,469,3699,3800,1664,494,62,93,166,31,577,7,1912,15,2,-5.2092149,119.455063
"Tallo, Kota Makassar",34.515643732838306,25857,1281,12722,13135,4145,1468,343,453,429,138,1406,116,4500,31,4,-5.1250455,119.4295039
"Tamalanrea, Kota Makassar",31.603846153846156,520,55,250,270,198,59,16,3,6,0,41,0,30,0,6,-5.1317461,119.4982452
"Tamalate, Kota Makassar",33.38109756097561,16400,1393,7944,8456,2894,1509,340,147,238,133,1594,43,1980,12,9,-5.1851712,119.4236581
"Ujung Pandang, Kota Makassar",33.50666666666667,225,14,103,122,108,0,0,0,0,0,21,0,9,0,2,-5.1615828,119.4359281
"Ujung Tanah, Kota Makassar",31.862595419847327,131,0,69,62,81,1,0,0,0,0,5,0,7,0,2,-5.0490848,119.3278254
"Wajo, Kota Makassar",32.76694772344013,2965,14,1373,1592,390,54,7,0,3,9,190,12,334,0,4,-5.1255864,119.4106768
