alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",38.16094420600859,466,115,205,261,206,112,11,0,0,0,51,0,15,0,1,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",39.652565256525655,1111,244,495,616,312,243,63,0,0,2,156,3,63,0,2,-5.2928247,119.4374637
"Biringbulu, Kabupaten Gowa",39.5,32,12,14,18,7,12,0,0,0,0,2,0,9,0,1,-5.482484,119.7364196
"Biringkanaya, Kota Makassar",34.19042437431991,919,119,454,465,412,83,22,2,4,0,67,1,78,0,6,-5.1134517,119.5137952
"Bontoala, Kota Makassar",32.707142857142856,420,37,210,210,208,41,4,2,3,0,34,0,10,0,2,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",35.0948275862069,348,104,164,184,120,105,9,0,0,0,31,0,0,0,1,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",36.00879120879121,455,101,179,276,146,99,10,12,1,3,58,2,33,1,1,-5.3983947,119.3890994
"Bontonompo, Kabupaten Gowa",38.25806451612903,837,250,298,539,292,248,172,12,4,7,105,0,40,1,1,-5.3455219,119.4454793
"Makassar, Kota Makassar",31.998214285714287,1120,151,527,593,384,137,10,39,50,0,75,0,52,0,3,-5.1615828,119.4359281
"Mamajang, Kota Makassar",35.465635738831615,582,92,273,309,254,93,30,9,8,2,48,0,75,0,6,-5.1643461,119.4193834
"Manggala, Kota Makassar",33.51021711366539,1566,181,703,863,734,147,15,2,3,6,125,1,65,1,5,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",39.575,160,13,24,136,22,13,10,1,7,4,14,0,9,0,1,-5.2858206,119.6126125
"Mariso, Kota Makassar",29.677852348993287,298,47,148,150,154,8,1,1,1,0,10,0,28,0,3,-5.1590928,119.4092257
"Pallangga, Kabupaten Gowa",35.05809399477807,1532,328,695,837,649,324,70,61,81,37,161,3,236,0,2,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",34.08005427408413,737,57,342,395,304,59,27,14,10,3,60,0,80,2,8,-5.1608223,119.449434
"Parangloe, Kabupaten Gowa",36.828125,64,11,30,34,33,11,0,0,0,0,4,0,5,0,1,-5.2441692,119.6509478
"Parigi, Kabupaten Gowa",38.61764705882353,136,22,65,71,60,22,1,0,0,0,24,0,4,0,1,-5.3059908,119.8064051
"Rappocini, Kota Makassar",34.75030599755202,817,73,372,445,318,69,3,0,0,2,73,0,70,0,6,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",35.0338785046729,856,124,404,452,421,119,7,25,30,1,85,0,194,1,2,-5.2092149,119.455063
"Tallo, Kota Makassar",33.501917808219176,1825,347,861,964,817,347,51,72,66,21,125,9,249,2,4,-5.1250455,119.4295039
"Tamalanrea, Kota Makassar",31.949656750572082,437,55,206,231,183,59,16,3,6,0,35,0,30,0,5,-5.1317461,119.4982452
"Tamalate, Kota Makassar",33.325631768953066,1385,162,630,755,520,132,26,22,36,9,118,3,125,0,7,-5.1851712,119.4236581
"Ujung Pandang, Kota Makassar",33.50666666666667,225,14,103,122,108,0,0,0,0,0,21,0,9,0,2,-5.1615828,119.4359281
"Ujung Tanah, Kota Makassar",31.862595419847327,131,0,69,62,81,1,0,0,0,0,5,0,7,0,2,-5.0490848,119.3278254
"Wajo, Kota Makassar",34.93636363636364,220,4,109,111,125,6,1,0,0,0,22,0,12,0,4,-5.1255864,119.4106768
