kecamatan,kab/kota,latitude,longitude
Bajeng Barat,Kabupaten Gowa,-5.2902067,119.390549
Bajeng,Kabupaten Gowa,-5.292824700000001,119.4374637
Biringbulu,Kabupaten Gowa,-5.482483999999999,119.7364196
Biringkanaya,Kota Makassar,-5.113451700000001,119.5137952
Bontoala,Kota Makassar,-5.130839,119.4208345
Bontomarannu,Kabupaten Gowa,-5.2324906,119.5096652
Bontonompo Selatan,Kabupaten Gowa,-5.398394700000001,119.3890994
Bontonompo,Kabupaten Gowa,-5.3455219,119.4454793
Makassar,Kota Makassar,-5.1615828,119.4359281
Mamajang,Kota Makassar,-5.164346099999999,119.4193834
Manggala,Kota Makassar,-5.1670953,119.4791098
Manuju,Kabupaten Gowa,-5.2858206,119.6126125
Mariso,Kota Makassar,-5.1590928,119.4092257
Pallangga,Kabupaten Gowa,-5.2635169,119.4863316
Panakkukang,Kota Makassar,-5.1608223,119.449434
Parangloe,Kabupaten Gowa,-5.2441692,119.6509478
Parigi,Kabupaten Gowa,-5.3059908,119.8064051
Rappocini,Kota Makassar,-5.1716212,119.4457009
Somba Opu,Kabupaten Gowa,-5.2092149,119.455063
Tallo,Kota Makassar,-5.1250455,119.4295039
Tamalanrea,Kota Makassar,-5.1317461,119.4982452
Tamalate,Kota Makassar,-5.1851712,119.4236581
Ujung Pandang,Kota Makassar,-5.1615828,119.4359281
Ujung Tanah,Kota Makassar,-5.0490848,119.3278254
Wajo,Kota Makassar,-5.1255864,119.4106768
Barombong,Kabupaten Gowa,-5.223243,119.419587
